target,n_compounds,mean_similarity,std_similarity,min_similarity,max_similarity
AAK1,159,0.22911338530374617,0.15074723858680328,0.041379310344827586,0.9411764705882353
ABL2,18,0.16474864510062234,0.12740090050613662,0.059602649006622516,0.7008547008547008
ACVR1,196,0.18822855405212777,0.14303104336620245,0.0423728813559322,0.9550561797752809
ACVR1B,27,0.16219428857675322,0.14500121496806045,0.045454545454545456,0.7948717948717948
ACVR2A,32,0.33663078712498495,0.21569468699845826,0.045112781954887216,0.9333333333333333
ACVR2B,3,0.08263074865751478,0.013557875073285895,0.06918238993710692,0.10119047619047619
ACVRL1,78,0.1742096237505454,0.15784467783457334,0.02857142857142857,0.9565217391304348
AKT1,2092,0.12722670385676482,0.10580393948480592,0.0,1.0
AKT2,577,0.16942348676569965,0.14330504989510662,0.016,1.0
AKT3,180,0.13959573330933703,0.1327503641900039,0.018518518518518517,1.0
ALK,1221,0.1484771169472175,0.1151168112873131,0.0070921985815602835,1.0
AMPK-alpha1,36,0.28006545118152226,0.27386697534761767,0.0440251572327044,0.8625
AMPK-alpha2,24,0.4819873370925383,0.27070705157810543,0.0440251572327044,0.8625
ANKK1,3,0.5684946203598688,0.07074407699047745,0.47368421052631576,0.6435643564356436
ARK5,50,0.10054975368104678,0.07687477580279227,0.014705882352941176,0.7685185185185185
ASK1,287,0.16775903730430014,0.13188907879347503,0.016666666666666666,0.9607843137254902
ASK2,16,0.4709339600186785,0.1618348901254067,0.1076923076923077,0.8235294117647058
AURKA,1960,0.13382870603934685,0.09437424418495916,0.014598540145985401,0.967032967032967
AURKB,1351,0.12173486211269574,0.08192252891739306,0.008264462809917356,0.967032967032967
AURKC,37,0.10843235574495928,0.09325073566765144,0.025210084033613446,0.7714285714285715
AXL,712,0.1367930063685852,0.10256827421255715,0.009009009009009009,1.0
BIKE,18,0.22883779942929672,0.20344024099091731,0.04195804195804196,0.75
BLK,70,0.13812456736373013,0.11495806009372687,0.030534351145038167,0.8717948717948718
BMPR1A,49,0.23582951841769403,0.1947333691937155,0.04316546762589928,0.8478260869565217
BMPR1B,24,0.18403609949607674,0.1569020491153244,0.045454545454545456,0.7948717948717948
BMPR2,19,0.16854564780444412,0.18552770088412002,0.045454545454545456,0.7790697674418605
BMX,81,0.13979365142073427,0.1030035733444295,0.041666666666666664,0.8717948717948718
BRAF,2167,0.15740622775852245,0.110742873047859,0.020833333333333332,0.981651376146789
BRK,135,0.20020380771581806,0.18723763605223256,0.03424657534246575,0.8842105263157894
BRSK1,7,0.15675691300540825,0.17052502098237612,0.0728476821192053,0.6435643564356436
BRSK2,6,0.10894700435264407,0.1394217494778703,0.041666666666666664,0.625
BTK,1829,0.13437358592810772,0.07729229815866061,0.017094017094017096,0.963855421686747
BUB1,10,0.2804843865569013,0.2096005072264566,0.07344632768361582,0.7961165048543689
CAMK1,10,0.1320553082206593,0.13617943165812862,0.0472972972972973,0.6666666666666666
CAMK1B,8,0.16094003212764554,0.17861312024353887,0.058823529411764705,0.6588235294117647
CAMK1D,12,0.17975034306334597,0.18446874075812802,0.052980132450331126,0.775
CAMK1G,7,0.1491188848655797,0.17456310385153803,0.043209876543209874,0.6435643564356436
CAMK2A,18,0.10628849920627793,0.13379214347686794,0.028037383177570093,0.9384615384615385
CAMK2B,11,0.08920601001143769,0.041149756245997524,0.04672897196261682,0.32786885245901637
CAMK2D,108,0.1822523465621996,0.16409374148032704,0.028037383177570093,0.8552631578947368
CAMK2G,9,0.09589608421436982,0.043690355945170976,0.05161290322580645,0.328125
CAMK4,7,0.16711425175004385,0.1676446037283475,0.06293706293706294,0.6435643564356436
CAMKK1,26,0.2868926186054887,0.15850539040155062,0.04225352112676056,0.6582278481012658
CAMKK2,87,0.21924481419337746,0.14092935396811773,0.04225352112676056,0.8461538461538461
CASK,4,0.34570799780406974,0.22847098569068414,0.10828025477707007,0.6435643564356436
CDC2L2,4,0.32984232684272596,0.24389622672140654,0.08088235294117647,0.6435643564356436
CDC2L5,54,0.30183036705341454,0.19752964655051616,0.049689440993788817,0.84375
CDK11,6,0.09837736451844144,0.07139951878379275,0.028985507246376812,0.3305084745762712
CDK2,1444,0.10140618829585726,0.060583453087961536,0.008333333333333333,0.9782608695652174
CDK3,16,0.1406778856767817,0.15623192261504618,0.04697986577181208,0.825
CDK4,819,0.20826007906800958,0.15911267350681532,0.007246376811594203,0.978494623655914
CDK5,199,0.1257015707170961,0.11112547536991978,0.017391304347826087,0.9487179487179487
CDK7,186,0.1338870832983431,0.11405307841164053,0.036231884057971016,0.8918918918918919
CDK8,194,0.1536097121558478,0.13611336662503876,0.034782608695652174,1.0
CDK9,768,0.19156377969445523,0.1268689000444929,0.019417475728155338,0.9666666666666667
CDKL1,2,0.04697986577181208,0.0,0.04697986577181208,0.04697986577181208
CDKL3,7,0.10231727132431472,0.028223428946809584,0.06040268456375839,0.17834394904458598
CHEK1,1482,0.11225568218136679,0.08426531555645597,0.016260162601626018,1.0
CHEK2,523,0.2076220551151555,0.16356481801057884,0.02608695652173913,0.9108910891089109
CIT,12,0.21943848318057213,0.2072578823360927,0.04195804195804196,0.7361111111111112
CLK1,294,0.11391489223388243,0.0945983578247384,0.01904761904761905,0.9534883720930233
CLK2,321,0.19010207069650562,0.17571776305554163,0.023255813953488372,0.9852941176470589
CLK3,54,0.15780650757908954,0.16091902448551665,0.03361344537815126,0.9534883720930233
CLK4,391,0.19257759636378083,0.16976976861029466,0.035211267605633804,0.9857142857142858
CSK,71,0.13944792101107478,0.12452861917800156,0.029411764705882353,0.8717948717948718
CSNK1A1,65,0.12368855939063786,0.1200191850722818,0.02857142857142857,1.0
CSNK1A1L,5,0.23222291130548242,0.2237106547838349,0.07051282051282051,0.6435643564356436
CSNK1D,433,0.19076919944682252,0.16514245560463828,0.016,0.9743589743589743
CSNK1E,398,0.21504728969201636,0.1858646010687744,0.0273972602739726,1.0
CSNK1G1,15,0.1379749274975713,0.14984876006297748,0.04854368932038835,0.6818181818181818
CSNK1G2,13,0.26964909163029827,0.21990163556013875,0.05660377358490566,0.6741573033707865
CSNK1G3,4,0.3266544121943295,0.24703446381650965,0.07692307692307693,0.6435643564356436
CSNK2A1,397,0.17384103082449112,0.14236862530534328,0.00980392156862745,0.8681318681318682
CSNK2A2,125,0.22921590126297928,0.19633230931919707,0.023121387283236993,0.85
CTK,2,0.057692307692307696,0.0,0.057692307692307696,0.057692307692307696
DAPK1,36,0.12849990688142005,0.14953450678625832,0.031578947368421054,0.8589743589743589
DAPK2,15,0.16859974126788646,0.20614234457618996,0.053691275167785234,0.8589743589743589
DAPK3,42,0.13720952892603716,0.1584263123116656,0.032467532467532464,0.8589743589743589
DCAMKL1,2,0.060810810810810814,0.0,0.060810810810810814,0.060810810810810814
DCAMKL3,3,0.5684946203598688,0.07074407699047745,0.47368421052631576,0.6435643564356436
DDR1,121,0.21049000561154269,0.16919081272146239,0.034782608695652174,0.963302752293578
DDR2,123,0.20156035809539014,0.15120151896558479,0.024193548387096774,0.96
DLK,6,0.19630739314202536,0.19264570001069767,0.06,0.6435643564356436
DMPK,6,0.17377630938201555,0.20104342625999516,0.04964539007092199,0.6435643564356436
DRAK1,38,0.22696423268019603,0.24569534816110272,0.04132231404958678,0.8717948717948718
DRAK2,68,0.24322997578795383,0.21198385884297127,0.032,0.8717948717948718
DYRK1A,765,0.11795347554724281,0.10541079997830152,0.00909090909090909,0.9852941176470589
DYRK1B,446,0.15828223980547312,0.14818112484327448,0.02702702702702703,0.9852941176470589
DYRK2,294,0.22612689634191685,0.18129407131070802,0.027777777777777776,0.9852941176470589
EGFR,3898,0.13193026254552745,0.07399905320426788,0.012987012987012988,1.0
EIF2AK1,37,0.27981191178754894,0.21485941677983114,0.04794520547945205,0.8108108108108109
EPHA1,16,0.11563868836990011,0.10032179650276449,0.05,0.6614173228346457
EPHA2,100,0.15403587887145584,0.17308034751191678,0.0234375,0.9906542056074766
EPHA3,16,0.13267515828673063,0.14851742327012904,0.050955414012738856,0.7971014492753623
EPHA4,35,0.3042113261352965,0.3293316084930898,0.038461538461538464,0.9649122807017544
EPHA5,9,0.1552754809932979,0.15719076301239313,0.0670391061452514,0.6614173228346457
EPHA6,6,0.22487098819593,0.22478090489756547,0.07428571428571429,0.6614173228346457
EPHA7,12,0.12853281977836073,0.12365410223663499,0.056818181818181816,0.6614173228346457
EPHA8,10,0.13618369078652331,0.14499444118852256,0.061855670103092786,0.6614173228346457
EPHB1,12,0.12341817012797988,0.12275773244038794,0.060240963855421686,0.6614173228346457
EPHB2,37,0.10901697544649862,0.09124025695528563,0.031007751937984496,1.0
EPHB3,44,0.23662973103928744,0.16783828081380894,0.05384615384615385,0.8043478260869565
EPHB4,468,0.14452123934777472,0.130326947957943,0.023809523809523808,1.0
ERBB2,919,0.144162221229531,0.10383941114320734,0.0072992700729927005,0.9868421052631579
ERBB3,8,0.28585114623689706,0.19771993196522633,0.07777777777777778,0.684931506849315
ERBB4,89,0.145428719907123,0.11538626850409167,0.035211267605633804,0.9782608695652174
ERK1,99,0.16734426219954107,0.17969791859823622,0.018518518518518517,0.9047619047619048
ERK2,2299,0.19721827403252554,0.12118002896756949,0.016666666666666666,0.9518072289156626
ERK3,3,0.5684946203598688,0.07074407699047745,0.47368421052631576,0.6435643564356436
ERK4,2,0.5882352941176471,0.0,0.5882352941176471,0.5882352941176471
ERK5,48,0.25468912856051623,0.19265997108179217,0.04929577464788732,0.99375
ERK8,10,0.12590136215655537,0.14018035424805764,0.051470588235294115,0.6435643564356436
ERN1,306,0.18524593351971555,0.120232826836373,0.014598540145985401,0.8653846153846154
FAK,1271,0.1603551390936028,0.10073529482578814,0.0072992700729927005,1.0
FER,14,0.12222523519659831,0.10374762979570645,0.05161290322580645,0.6435643564356436
FES,17,0.12501809284256146,0.08403438706916996,0.04864864864864865,0.6435643564356436
FGFR1,2121,0.14268686701041186,0.12356550084295845,0.014492753623188406,1.0
FGFR2,813,0.3048917095772941,0.2084007838237753,0.03355704697986577,1.0
FGFR3,1270,0.21550289799693126,0.1890911339513027,0.02564102564102564,1.0
FGFR4,869,0.2689047927906181,0.20176222190846127,0.037037037037037035,1.0
FGR,50,0.14326392471095514,0.12693271643258885,0.037383177570093455,0.8717948717948718
FLT1,735,0.12471365562761068,0.08774444697292642,0.019417475728155338,0.9603960396039604
FLT3,1471,0.10717172878359707,0.06556131911695122,0.009615384615384616,1.0
FLT4,363,0.13685811226300518,0.11495571433901554,0.022900763358778626,0.9603960396039604
FRK,29,0.21960927204505376,0.20573582916271005,0.04827586206896552,0.8717948717948718
FYN,133,0.11210892924502311,0.10075075767983277,0.017964071856287425,0.8717948717948718
GAK,47,0.2117656406238919,0.1950227570883992,0.03759398496240601,0.9101123595505618
"GCN2(Kin.Dom.2,S808G)",45,0.3039333100147462,0.2223000906143776,0.04861111111111111,0.8888888888888888
GRK1,22,0.2475715141705479,0.2387473842136629,0.0457516339869281,0.8148148148148148
GRK2,117,0.22564683517027267,0.21027564684486127,0.04316546762589928,0.9555555555555556
GRK3,5,0.2260755644376678,0.2276865424542243,0.05732484076433121,0.6435643564356436
GRK4,8,0.18035034269494882,0.21679656238999445,0.0457516339869281,0.6458333333333334
GRK7,6,0.1901235335468434,0.21358446380038446,0.06164383561643835,0.6458333333333334
GSK3A,359,0.13924248030673278,0.12157983655153519,0.02127659574468085,0.9032258064516129
GSK3B,2128,0.10153869008471283,0.061532255932226526,0.0,1.0
HASPIN,10,0.11835645722418021,0.09880289029827133,0.046153846153846156,0.49295774647887325
HCK,340,0.18386818649494052,0.14723016300585845,0.03305785123966942,0.9452054794520548
HIPK1,46,0.17652764907596874,0.18014083450339252,0.03076923076923077,0.8333333333333334
HIPK2,65,0.1740140283052324,0.17285078822317126,0.036231884057971016,0.9375
HIPK3,24,0.245793220110311,0.2217373814069151,0.04065040650406504,0.8333333333333334
HIPK4,23,0.17641316033993173,0.1767655691553368,0.043478260869565216,0.7391304347826086
HPK1,139,0.23663672292206694,0.19069124045182492,0.04794520547945205,0.9732142857142857
HUNK,3,0.5684946203598688,0.07074407699047745,0.47368421052631576,0.6435643564356436
ICK,5,0.23109613618751218,0.2243739615672741,0.07692307692307693,0.6435643564356436
IGF1R,1381,0.16284991520003236,0.1250105157171144,0.007142857142857143,0.9850746268656716
IKK-alpha,299,0.14319227468136034,0.11547738002801429,0.018018018018018018,0.8723404255319149
IKK-beta,890,0.1181904455045959,0.09015767673410278,0.017391304347826087,0.9782608695652174
IKK-epsilon,270,0.1763348712211235,0.14664154382015224,0.03278688524590164,0.9506172839506173
INSR,445,0.14210241904717053,0.10539099779695638,0.025,0.9239130434782609
INSRR,9,0.13570000378068842,0.13389252063673188,0.05333333333333334,0.6435643564356436
IRAK1,58,0.16559376587788047,0.13657894072848803,0.0457516339869281,0.8901098901098901
IRAK3,4,0.3294791089306571,0.2442016014285474,0.08695652173913043,0.6435643564356436
IRAK4,1579,0.16385814566924425,0.12880325744906718,0.024193548387096774,1.0
ITK,514,0.1636908486635469,0.13051692446641122,0.029411764705882353,0.9578947368421052
JAK1(JH1domain-catalytic),2901,0.1567726688123553,0.10914017258545777,0.018518518518518517,1.0
JAK2(JH1domain-catalytic),3897,0.13460152142363846,0.08939195155413665,0.015384615384615385,1.0
JAK3(JH1domain-catalytic),2467,0.12685492527804865,0.07971071062371171,0.016,1.0
JNK1,1253,0.1286778729158439,0.08216040629086493,0.017699115044247787,1.0
JNK2,557,0.12237714117008974,0.07945636723757075,0.02040816326530612,0.9615384615384616
JNK3,929,0.12086970761640899,0.07799209808731723,0.01694915254237288,1.0
LATS1,250,0.33308506337188826,0.128309017762219,0.04225352112676056,0.9344262295081968
LATS2,25,0.2750554252393469,0.20724664533486767,0.04195804195804196,0.7777777777777778
LCK,1348,0.1158854671949859,0.0694733979278607,0.016666666666666666,1.0
LIMK1,220,0.15926936823379814,0.13640721303121853,0.018018018018018018,0.8837209302325582
LIMK2,124,0.22636479765136114,0.1914186420108314,0.034722222222222224,0.9166666666666666
LOK,2,0.07453416149068323,0.0,0.07453416149068323,0.07453416149068323
LRRK2,599,0.12831628435529585,0.10296621006985217,0.014814814814814815,0.9384615384615385
LTK,21,0.12397660256563635,0.12260678713831215,0.04375,0.7938144329896907
LYN,175,0.11997867362654793,0.09246668164438754,0.02459016393442623,0.8717948717948718
LZK,6,0.19630739314202536,0.19264570001069767,0.06,0.6435643564356436
MAP3K1,4,0.19049986901197924,0.26222807488845784,0.055944055944055944,0.7763157894736842
MAP3K2,6,0.08793224407760455,0.018355026953462257,0.060810810810810814,0.12258064516129032
MAP3K3,2,0.060810810810810814,0.0,0.060810810810810814,0.060810810810810814
MAP4K2,60,0.24078804542297674,0.2116148895896691,0.045454545454545456,0.9065420560747663
MAP4K3,75,0.23874248074325785,0.20974637813790684,0.04697986577181208,0.8878504672897196
MAP4K4,103,0.17372500339719402,0.15959350669476277,0.03125,0.8271604938271605
MAP4K5,14,0.12604600599199337,0.11684977753629343,0.05161290322580645,0.6697247706422018
MAPKAPK2,731,0.11603062824289129,0.09488441143737109,0.0136986301369863,0.9493670886075949
MAPKAPK5,38,0.16939245667545058,0.18433249120791004,0.03389830508474576,0.7971014492753623
MARK1,15,0.1568685154399345,0.15081652748156937,0.05517241379310345,0.8269230769230769
MARK2,11,0.13402808520034887,0.11301342549507278,0.06493506493506493,0.6435643564356436
MARK3,41,0.22938635392648019,0.1669434261984075,0.048484848484848485,0.9365079365079365
MARK4,8,0.1593382577674383,0.1783188239097781,0.048,0.7631578947368421
MAST1,3,0.5684946203598688,0.07074407699047745,0.47368421052631576,0.6435643564356436
MEK1,612,0.13138387928919448,0.10969684059265179,0.008849557522123894,1.0
MEK2,17,0.0897813055459854,0.0919435063654897,0.03597122302158273,0.6375
MEK3,6,0.28112404184755907,0.15528963894915196,0.14814814814814814,0.6382978723404256
MEK4,55,0.4096970794015171,0.24389563035143053,0.046511627906976744,0.8658536585365854
MEK5,5,0.27227007422956484,0.23515142384988347,0.09937888198757763,0.6588235294117647
MEK6,10,0.114686010135429,0.1250606770742311,0.02857142857142857,0.6435643564356436
MELK,733,0.3117049645360325,0.14105363796772405,0.024390243902439025,0.9514563106796117
MERTK,337,0.16649515496843917,0.13911270292210637,0.0234375,1.0
MET,2757,0.13090810307664472,0.0868231028187258,0.0,1.0
MINK,13,0.10297312029541009,0.054355158340702696,0.03125,0.5
MKK7,39,0.3547138180208698,0.2294539336908659,0.049689440993788817,0.8375
MKNK1,292,0.155968705325727,0.13059413350869153,0.02586206896551724,0.9523809523809523
MKNK2,567,0.28381627500681417,0.17736128554300384,0.021505376344086023,0.96875
MLCK,4,0.3266544121943295,0.24703446381650965,0.07692307692307693,0.6435643564356436
MLK1,63,0.14743024829993373,0.16397523690479482,0.021897810218978103,0.8981481481481481
MLK2,18,0.21430241126707417,0.2309829416159733,0.035211267605633804,0.8640776699029126
MLK3,57,0.16544066688446274,0.18047227849965378,0.027777777777777776,0.8981481481481481
MRCKA,21,0.25547635802864954,0.1677071843303053,0.04964539007092199,0.8205128205128205
